timestamp,demand
2020-01-06,88
2017-07-20,86
2019-09-06,74
2018-03-13,69
2018-04-08,32
2019-02-12,20
2019-04-20,27
2017-07-26,28
2018-12-24,49
2018-11-25,88
2018-01-22,94
2019-06-26,3
2018-02-24,5
2018-05-30,46
2018-03-06,11
2019-04-01,83
2018-09-09,29
2019-10-11,20
2018-10-05,84
2017-10-23,69
2018-03-23,98
2019-12-24,29
2017-06-05,62
2019-02-28,61
2019-09-07,99
2018-01-06,50
2017-05-29,47
2019-08-23,44
2019-11-05,17
2017-04-12,62
2017-09-06,34
2019-09-21,70
2019-04-26,90
2018-03-31,1
2020-02-15,64
2018-01-11,39
2017-07-14,71
2017-05-11,67
2018-11-13,23
2019-10-19,80
2017-02-20,28
2019-04-10,64
2017-06-30,81
2017-04-02,52
2018-10-14,48
2020-01-06,81
2019-11-21,67
2018-08-17,10
2017-07-09,49
2019-11-09,52
2018-07-27,67
2019-10-12,100
2017-12-06,3
2017-11-08,48
2019-08-22,17
2019-03-12,38
2017-09-06,11
2017-03-03,72
2018-10-29,7
2017-07-04,20
2019-03-31,20
2017-09-01,4
2017-12-16,8
2018-07-26,3
2018-10-26,89
2018-08-01,60
2019-09-12,45
2017-10-08,66
2017-09-13,57
2018-11-27,18
2018-04-20,77
2020-01-16,87
2019-06-03,58
2018-09-28,16
2018-08-08,95
2018-02-26,77
2018-05-18,90
2017-07-26,60
2019-02-11,85
2019-12-15,80
2019-09-23,13
2018-06-27,55
2017-11-20,48
2019-08-27,23
2019-06-09,63
2018-12-18,20
2019-09-02,97
2017-05-26,91
2018-06-22,39
2019-05-19,18
2017-12-20,25
2018-05-25,57
2018-07-03,41
2017-06-05,9
2018-02-12,7
2019-02-21,53
2019-07-09,65
2019-09-14,57
2019-01-17,82
2018-09-03,80
2019-08-20,46
2017-05-20,50
2018-09-29,94
2018-10-04,59
2018-03-19,82
2017-12-19,77
2019-01-14,58
2018-08-08,10
2017-12-13,2
2019-03-20,79
2017-03-20,50
2017-09-28,76
2018-11-09,25
2017-11-04,88
2019-08-10,98
2017-06-08,26
2019-12-18,29
2017-09-29,6
2017-11-16,64
2019-05-27,37
2019-06-06,70
2018-05-18,4
2018-02-25,2
2018-07-20,77
2019-03-24,14
2019-05-14,76
2017-12-26,47
2019-05-18,76
2019-01-26,23
2019-07-21,96
2019-01-30,55
2019-06-06,92
2017-04-19,84
2017-10-08,92
2017-04-09,41
2018-07-30,97
2019-11-16,70
2018-08-28,96
2017-05-20,3
2018-07-11,96
2018-03-05,36
2017-10-08,53
2019-02-21,28
2017-12-06,65
2018-09-21,83
2017-03-26,34
2019-11-08,70
2019-11-23,80
2018-03-18,63
2019-02-17,56
2018-09-06,19
2017-07-10,62
2017-07-24,16
2020-01-14,94
2018-03-13,20
2019-11-21,84
2018-10-25,48
2019-03-22,26
2018-09-02,61
2017-12-07,76
2017-10-09,100
2018-05-01,56
2020-02-18,58
2019-02-11,26
2018-12-24,36
2019-06-08,4
2018-04-05,68
2017-03-07,12
2017-08-17,41
2018-07-22,55
2018-06-28,31
2019-04-05,76
2019-09-21,62
2018-10-20,30
2019-08-15,31
2018-09-26,81
2018-08-20,67
2017-06-07,75
2018-08-13,67
2017-04-25,40
2018-06-04,51
2018-11-12,57
2018-12-20,19
2019-06-21,77
2017-05-28,41
2018-10-16,73
2018-01-13,43
2018-06-28,1
2018-09-23,70
2019-02-07,71
2019-04-14,100
2020-01-01,67
2019-09-29,74
2017-08-21,94
2017-06-25,84
2017-06-14,42
2017-11-30,98
2018-02-08,54
2019-06-08,4
2019-04-10,58
2018-09-25,26
2019-07-07,48
2018-10-10,88
2018-09-06,42
2018-10-03,78
2018-08-11,43
2019-11-01,68
2020-01-07,12
2017-05-13,82
2019-06-27,66
2020-01-01,93
2019-01-21,74
2018-05-10,75
2017-08-11,72
2019-10-10,48
2019-11-14,42
2017-07-19,40
2019-07-19,1
2018-07-09,31
2019-12-18,1
2019-11-20,37
2017-03-23,27
2018-07-18,24
2019-03-21,14
2019-11-17,24
2017-03-26,34
2018-06-04,24
2017-10-22,22
2019-07-12,67
2018-04-15,24
2018-06-17,3
2018-08-26,16
2017-02-20,32
2018-04-18,47
2018-07-26,71
2017-10-05,57
2019-07-24,36
2017-10-04,85
2020-01-27,57
2019-05-21,24
2019-08-04,89
2019-02-09,36
2017-07-14,48
